"sample","PC1","PC2","PC3","group","cohort"
"HCC 09",1.56793482727255,3.3169757304715,-0.359916332217282,"HCC","TU"
"HCC 10",12.6686546788043,-8.49488180564778,-2.16266228122674,"HCC","TU"
"HCC 11",-11.2828258303658,-3.11952620500627,-4.28496552740617,"HCC","TU"
"HCC 12",-3.47340366416779,4.5006544982873,-0.874323468173009,"HCC","TU"
"HCC 13",3.24474040102323,0.0730956453767467,-5.91106374594963,"HCC","TU"
"HCC 14",4.43626122718458,2.991944548369,-1.7904882383185,"HCC","TU"
"HCC 15",2.54138613900051,7.96468405788814,-2.03314958831783,"HCC","TU"
"HCC 16",0.152713187165497,2.05068502792516,-3.88184271479644,"HCC","TU"
"HCC 17",12.0056975138277,2.46903958639367,-0.306982560193655,"HCC","TU"
"HCC 18",-5.78813742649634,-2.0004080690411,-0.55538390519292,"HCC","TU"
"HCC 19",10.1486717030469,-7.16841699195202,-2.77983270736881,"HCC","TU"
"HCC 20",-0.895181709391963,-1.6390061304001,3.89409382101347,"HCC","TU"
"HCC 21",2.33709562874785,1.63160874340623,2.61616671636309,"HCC","TU"
"HCC 22",-2.51149971314056,-2.85972845092897,1.31168248432674,"HCC","TU"
"HCC 23",-5.98567615181235,-0.905621676316437,3.20082390218683,"HCC","TU"
"HCC 24",1.3767754076799,3.72507047432206,3.15604794772394,"HCC","TU"
"HCC 25",1.14384099112515,5.5725568853886,7.47198328198447,"HCC","TU"
"HCC 26",4.53400731281781,-1.813213509235,2.24337522310836,"HCC","TU"
"HCC 27",10.5379763948884,4.39074047878359,4.76454290973652,"HCC","TU"
"HCC 28",9.17384355308435,-1.51476420966109,4.05100077269811,"HCC","TU"
"HCC 29",-3.64261140238533,-5.39543184958523,1.4285081086234,"HCC","TU"
"HCC 30",-3.56876342808721,-6.28144401541248,2.97113722468799,"HCC","TU"
"HCC 31",7.10096580613985,3.59570950876338,1.82784564397185,"HCC","TU"
"HCC 32",-4.19521270505875,-1.33975730373274,2.28258692335783,"HCC","TU"
"HCC 33",-3.91528595231626,2.91496497118666,3.49171646105313,"HCC","TU"
"HCC 34",9.57577506922153,-1.40116290383315,3.23257081536553,"HCC","TU"
"HCC 35",7.55607776054368,-3.34441131277281,2.7131740404544,"HCC","TU"
"HCC 36",-2.23832544933842,2.44211368385745,1.26575786334022,"HCC","TU"
